Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
LaTonya Johnson,HOU,F,6,36,6,0,6.0,0.3,1.2,.286,0.3,1.0,.333,0.0,0.2,.000,0.0,0.3,.000,0.0,0.2,0.2,0.3,0.0,0.3,0.5,1.0
Pollyanna Johns Kimbrough,HOU,C,19,157,19,0,8.3,0.2,0.9,.176,0.0,0.0,,0.2,0.9,.176,0.8,1.1,.762,0.8,1.5,0.1,0.2,0.2,0.4,1.1,1.2
Shannon Johnson,SAS,G,31,954,31,30,30.8,2.9,7.5,.380,0.9,2.5,.355,2.0,5.1,.392,2.6,3.5,.766,0.5,2.6,4.4,1.5,0.1,3.2,2.2,9.3
Tiffani Johnson,HOU,C,33,660,33,11,20.0,1.8,3.6,.500,0.0,0.0,,1.8,3.6,.500,0.7,1.0,.750,0.9,3.7,0.8,0.3,0.5,0.9,2.2,4.3
Vickie Johnson,NYL,G-F,34,1119,34,34,32.9,3.6,8.6,.413,0.5,1.8,.283,3.1,6.9,.446,1.8,2.1,.886,1.1,3.6,3.6,0.7,0.1,2.1,2.2,9.4
Asjha Jones,CON,F,34,699,34,1,20.6,2.8,7.0,.402,0.1,0.2,.333,2.8,6.9,.403,1.2,1.4,.854,1.5,3.5,1.1,0.6,0.5,1.6,2.4,6.9
Chandi Jones,DET,G,31,397,31,8,12.8,1.2,3.3,.359,0.3,1.0,.250,0.9,2.3,.408,0.8,1.0,.806,0.3,1.1,1.5,0.6,0.2,1.3,1.3,3.5
Merlakia Jones,DET,G,33,517,33,2,15.7,2.3,6.2,.371,0.1,0.5,.267,2.2,5.8,.379,0.7,1.0,.750,0.7,2.1,0.6,0.6,0.1,0.8,1.2,5.5
Sheila Lambert,HOU,G,34,788,34,25,23.2,2.2,5.2,.424,0.2,0.8,.259,2.0,4.4,.453,1.2,1.5,.784,0.6,2.0,2.6,0.8,0.1,2.4,1.4,5.8
Amanda Lassiter,MIN,F,33,563,33,12,17.1,1.4,4.1,.348,0.8,2.7,.303,0.6,1.4,.435,0.2,0.3,.667,0.5,2.4,1.1,0.6,0.7,1.2,2.2,3.8
Kara Lawson,SAC,G,34,827,34,10,24.3,3.0,7.2,.420,1.5,3.9,.381,1.5,3.3,.468,1.1,1.3,.841,0.4,2.3,2.0,0.6,0.2,1.6,1.2,8.6
Betty Lennox,SEA,G,32,920,32,32,28.8,4.3,10.3,.421,0.7,2.6,.265,3.7,7.7,.474,1.8,2.1,.853,0.9,5.0,2.5,1.1,0.1,2.4,2.8,11.2
Lisa Leslie*,LAS,C,34,1150,34,34,33.8,6.6,13.3,.494,0.2,0.6,.273,6.4,12.6,.506,4.3,6.0,.712,1.8,9.9,2.6,1.5,2.9,3.2,3.8,17.6
Tynesha Lewis,CHA,G,34,617,34,2,18.1,2.7,6.2,.433,0.6,1.5,.400,2.1,4.7,.444,1.3,1.7,.759,0.7,1.7,1.3,0.8,0.2,1.3,1.4,7.2
Stacey Lovelace,MIN,C,34,388,34,0,11.4,1.4,3.6,.402,0.1,0.5,.176,1.4,3.1,.438,0.6,0.7,.833,0.7,1.9,0.6,0.5,0.3,1.3,1.4,3.6
Mwadi Mabika,LAS,G,31,965,31,31,31.1,5.1,12.4,.415,1.2,3.0,.404,3.9,9.3,.419,2.9,3.5,.824,1.3,3.9,2.4,1.2,0.1,1.5,2.8,14.4
Laura Macchi,LAS,F,25,410,25,15,16.4,2.1,4.2,.491,0.3,1.0,.269,1.8,3.2,.563,1.6,2.2,.745,0.9,2.4,0.6,0.8,0.2,1.2,2.2,6.1
Hamchetou Maiga-Ba,SAC,F,34,480,34,0,14.1,1.8,3.9,.470,0.0,0.0,,1.8,3.9,.470,0.5,0.9,.552,1.0,2.1,0.7,0.9,0.2,1.4,1.9,4.1
Raffaella Masciadri,LAS,F,17,116,17,0,6.8,0.6,1.5,.400,0.2,0.6,.364,0.4,0.8,.429,0.2,0.6,.400,0.1,0.3,0.5,0.1,0.0,0.3,1.4,1.6
