league,lg,season,season_start_year,player_name,player_id,team,pos,g,mp_per_game,pts_per_game,ast_per_game,trb_per_game,orb_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,stl_per_game,blk_per_game,tov_per_game,pf_per_game,draft_year,draft_round,draft_pick,draft_team,college,rookie_season_start_year,career_year,GS
WNBA,WNBA,1997-98,1997,Chantel Tremitiere,,SAC,G,28,37.5,7.6,4.8,4.1,0.9,2.5,7.0,0.352,0.3,1.3,0.189,2.2,5.7,0.39,2.4,3.2,0.744,1.9,0.0,4.4,2.9,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Penny Toler,,LAS,G,28,32.4,13.1,5.1,3.4,0.9,5.1,12.1,0.426,0.3,1.4,0.184,4.9,10.7,0.457,2.6,3.1,0.839,1.3,0.1,3.8,2.4,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Michele Timms*,,PHO,G,27,35.8,12.1,5.0,3.7,0.9,3.7,10.9,0.336,1.8,5.3,0.345,1.9,5.7,0.327,2.9,3.9,0.76,2.6,0.1,3.0,3.5,,,,,,1997,1.0,27
WNBA,WNBA,1997-98,1997,Tina Thompson*,,HOU,F,28,31.6,13.2,1.1,6.6,2.4,4.8,11.4,0.418,1.3,3.6,0.37,3.4,7.8,0.44,2.4,2.9,0.838,0.8,1.0,2.2,3.8,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Sheryl Swoopes*,,HOU,F-G,9,14.3,7.1,0.8,1.7,0.7,2.8,5.9,0.472,0.4,1.8,0.25,2.3,4.1,0.568,1.1,1.6,0.714,0.8,0.4,0.4,0.6,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Tora Suber,,CHA,G,28,17.0,4.7,2.0,1.5,0.2,1.4,3.9,0.37,0.8,2.1,0.397,0.6,1.8,0.34,1.0,1.5,0.683,0.5,0.1,1.8,1.1,,,,,,1997,1.0,8
WNBA,WNBA,1997-98,1997,Andrea Stinson,,CHA,G,28,36.1,15.7,4.4,5.5,1.7,6.3,14.1,0.447,0.9,2.8,0.325,5.4,11.4,0.476,2.1,3.2,0.674,1.5,0.8,3.5,2.0,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Raegan Pebley,,UTA,F-C,8,5.4,1.5,0.1,0.9,0.5,0.6,1.6,0.385,0.0,0.0,,0.6,1.6,0.385,0.3,0.3,1.0,0.1,0.4,0.0,0.4,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Jenny Boucek,,CLE,G,10,11.2,1.8,0.9,1.0,0.3,0.7,1.5,0.467,0.0,0.3,0.0,0.7,1.2,0.583,0.4,0.7,0.571,0.6,0.0,2.2,1.0,,,,,,1997,1.0,1
WNBA,WNBA,1997-98,1997,Andrea Congreaves,,CHA,F-C,28,23.5,6.7,1.5,4.8,1.4,2.3,4.5,0.5,0.6,1.6,0.409,1.6,2.9,0.549,1.5,2.0,0.768,0.6,0.2,1.1,1.9,,,,,,1997,1.0,16
WNBA,WNBA,1997-98,1997,Megan Compain,,UTA,G,5,3.8,1.0,0.4,1.0,0.0,0.4,1.4,0.286,0.2,0.8,0.25,0.2,0.6,0.333,0.0,0.0,,0.8,0.2,1.2,1.2,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Katrina Colleton,,LAS,F,28,21.9,4.9,1.6,2.1,0.9,2.0,4.5,0.437,0.3,0.9,0.36,1.6,3.6,0.455,0.6,1.1,0.567,1.3,0.3,1.3,1.6,,,,,,1997,1.0,14
WNBA,WNBA,1997-98,1997,Margold Clark,,SAC,F-C,4,11.5,1.8,0.3,1.5,0.0,0.8,1.5,0.5,0.0,0.3,0.0,0.8,1.3,0.6,0.3,0.5,0.5,0.3,0.3,0.5,2.3,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Daedra Charles,,LAS,F-C,28,10.1,2.3,0.4,1.7,0.6,1.0,2.4,0.403,0.0,0.0,0.0,1.0,2.4,0.409,0.4,0.5,0.667,0.4,0.4,0.5,1.5,,,,,,1997,1.0,1
WNBA,WNBA,1997-98,1997,Deborah Carter,,UTA,G-F,18,15.9,3.9,0.4,2.7,1.2,1.7,4.3,0.385,0.1,0.4,0.143,1.6,3.9,0.408,0.6,0.8,0.714,0.7,0.1,0.8,1.8,,,,,,1997,1.0,7
WNBA,WNBA,1997-98,1997,Latasha Byears,,SAC,G-F,28,23.4,8.7,1.7,6.9,3.1,3.4,7.5,0.459,0.0,0.2,0.2,3.4,7.3,0.466,1.8,2.5,0.739,1.4,0.3,2.4,3.5,,,,,,1997,1.0,19
WNBA,WNBA,1997-98,1997,Linda Burgess,,LAS,F,28,17.6,6.5,0.3,4.2,1.6,2.6,4.8,0.541,0.0,0.1,0.5,2.6,4.8,0.541,1.3,1.8,0.735,0.7,0.5,1.7,1.6,,,,,,1997,1.0,6
WNBA,WNBA,1997-98,1997,Heidi Burge,,LAS,F-C,22,12.8,4.0,0.7,3.1,1.0,1.5,3.3,0.444,0.0,0.2,0.0,1.5,3.1,0.471,1.0,2.0,0.511,0.5,0.5,1.1,2.4,,,,,,1997,1.0,6
WNBA,WNBA,1997-98,1997,Vicky Bullett,,CHA,F,28,31.3,12.8,2.3,6.4,2.4,5.2,11.6,0.448,0.3,0.8,0.304,4.9,10.8,0.458,2.2,2.9,0.775,1.9,2.0,2.4,3.0,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Rushia Brown,,CLE,F,28,18.3,6.3,0.7,4.0,1.7,2.3,4.4,0.52,0.0,0.0,,2.3,4.4,0.52,1.7,2.3,0.734,1.2,0.5,1.0,2.6,,,,,,1997,1.0,3
WNBA,WNBA,1997-98,1997,Janice Braxton,,CLE,F,25,32.9,11.5,2.0,7.6,1.5,3.5,8.4,0.417,0.2,0.4,0.5,3.3,8.0,0.413,4.2,5.5,0.768,1.4,1.1,2.1,2.6,,,,,,1997,1.0,24
